"name_sci","name_e","name_c","lat","lon","survey_dat","province","county","location","national_l","IUCN_redli","endemic_c","data_sourc","data_owner"
"Ithaginis cruentus","Blood Pheasant","血雉",32.93922,104.16449,NA,"","","",0,6,1,"","CI"
"Ithaginis cruentus","Blood Pheasant","血雉",32.89669,104.1276,NA,"","","",0,6,1,"","CI"
"Ithaginis cruentus","Blood Pheasant","血雉",32.90294,104.11649,NA,"","","",0,6,1,"","CI"
"Ithaginis cruentus","Blood Pheasant","血雉",33.00406,104.03926,NA,"","","",0,6,1,"","CI"
"Ithaginis cruentus","Blood Pheasant","血雉",32.95118,104.15732,NA,"","","",0,6,1,"","CI"
"Tetraophasis obscurus","Red-throad Pheasant","红喉雉鹑",33.00045,103.99967,NA,"","","",0,4,1,"","CI"
"Tetraophasis obscurus","Red-throad Pheasant","红喉雉鹑",32.99808,104.07474,NA,"","","",0,4,1,"","CI"
"Tetraophasis obscurus","Red-throad Pheasant","红喉雉鹑",32.98356,104.11881,NA,"","","",0,4,1,"","CI"
"Tetraophasis obscurus","Red-throad Pheasant","红喉雉鹑",32.92137,104.18095,NA,"","","",0,4,1,"","CI"
"Tetraogallus tibetanus","Tibetan  Snow Cock","藏雪鸡",30.85627,103.02707,NA,"","","",0,5,0,"","CI"
"Tetraogallus tibetanus","Tibetan  Snow Cock","藏雪鸡",30.85857,103.03155,NA,"","","",0,5,0,"","CI"
"Tragopan temminckii","Temminck's Tragopan","红腹角雉",32.95966,104.09615,NA,"","","",2,5,0,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.96794,104.09719,NA,"","","",0,6,1,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.95152,104.07334,NA,"","","",0,6,1,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.896,104.05281,NA,"","","",0,6,1,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.99638,104.02515,NA,"","","",0,6,1,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.98356,104.11881,NA,"","","",0,6,1,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.95112,104.14808,NA,"","","",0,6,1,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.92995,104.10913,NA,"","","",0,6,1,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.92158,104.15135,NA,"","","",0,6,1,"","CI"
"Crossoptilon auritum","Blue Eared Pheasant","蓝马鸡",32.95903,104.1078,NA,"","","",0,6,1,"","CI"
"Lophophorus lhuysii","Chinese Monal Pheasant","绿尾虹雉",30.85627,103.02707,NA,"","","",1,4,1,"","CI"
"Lophophorus lhuysii","Chinese Monal Pheasant","绿尾虹雉",30.85723,103.03792,NA,"","","",1,4,1,"","CI"
"Lophophorus lhuysii","Chinese Monal Pheasant","绿尾虹雉",30.85857,103.03155,NA,"","","",1,4,1,"","CI"
"Pucrasia macrolopha","Koklass Pheasant","勺鸡",32.94969,104.13821,NA,"","","",0,5,0,"","CI"
"Pucrasia macrolopha","Koklass Pheasant","勺鸡",32.91745,104.15844,NA,"","","",0,5,0,"","CI"
"Lerwa lerwa","Snow Patridge","雪鹑",30.85723,103.03792,NA,"","","",0,5,0,"","CI"
"Lerwa lerwa","Snow Patridge","雪鹑",30.85857,103.03155,NA,"","","",0,5,0,"","CI"
"Lerwa lerwa","Snow Patridge","雪鹑",30.85627,103.02707,NA,"","","",0,5,0,"","CI"
"Ithaginis cruentus","Blood Pheasant","血雉",32.97333,104.09756,NA,"","","",0,6,1,"","CI"
"Ithaginis cruentus","Blood Pheasant","血雉",32.97324,104.10778,NA,"","","",0,6,1,"","CI"
